시도,시군구,지점명,주소,lng,lat,브랜드
부산광역시,해운대구,부산좌4동점,부산광역시 해운대구 좌동 1407-3,129.1755464,35.1780895,피자스쿨
부산광역시,강서구,부산지사점,부산광역시 강서구 지사동 1194-9,128.8342287,35.1505101,피자스쿨
부산광역시,사상구,부산학장점,부산광역시 사상구 학장동 573-1 반도프라자상가,128.9790778,35.1376018,피자스쿨
부산광역시,북구,부산화명점,부산광역시 북구 화명동 2267-2,129.0103567,35.2360252,피자스쿨
부산광역시,북구,신만덕점,부산광역시 북구 만덕3동 916-8번지,129.0293138,35.2108398,피자스쿨
부산광역시,사상구,엄궁점,부산광역시 사상구 엄궁동 726 엄궁롯데APT주상가 106호,128.9756837,35.1269649,피자스쿨
부산광역시,해운대구,해운대점,부산광역시 해운대구 좌동 1328번지 영남아파트제상가 108-106,129.1835919,35.1674435,피자스쿨
부산광역시,금정구,부산외대점,부산광역시 금정구 금샘로 464 1층,129.0852717,35.2643224,미스터피자
부산광역시,금정구,서동점,부산광역시 금정구 서동로 171,129.1052989,35.2146866,미스터피자
부산광역시,남구,경성대점,부산광역시 남구 용소로 8 nicemart 2층,129.1002246,35.1365005,미스터피자
부산광역시,동래구,동래점,부산광역시 동래구 명륜로 200 1층,129.0829795,35.211574,미스터피자
부산광역시,부산진구,서면점,부산광역시 부산진구 서전로10번길 69 2층,129.060049,35.154792,미스터피자
부산광역시,북구,덕천2호점,부산광역시 북구 만덕대로 104,129.0161824,35.2126341,미스터피자
부산광역시,북구,화명점,부산광역시 북구 금곡대로 199번길 3,129.0105906,35.2265698,미스터피자
부산광역시,사상구,엄궁점,부산광역시 사상구 낙동대로 751 2층,128.9694742,35.1284629,미스터피자
부산광역시,사하구,다대포점,부산광역시 사하구 다대로 551 2층,128.9712928,35.0569977,미스터피자
부산광역시,수영구,남천점,부산광역시 수영구 수영로 465 2층,129.1100853,35.147526,미스터피자
부산광역시,연제구,아시아드2호점,부산광역시 연제구 월드컵대로 232 거벌빌딩 2층,129.0719404,35.1899025,미스터피자
부산광역시,연제구,연산점,부산광역시 연제구 월드컵대로 232 거벌빌딩 2층,129.0719404,35.1899025,미스터피자
부산광역시,영도구,영도점,부산광역시 영도구 동삼로 42 1층,129.0709935,35.0771477,미스터피자
부산광역시,해운대구,해운대점,부산광역시 해운대구 세실로 48 해운대삼정코아주상복합 2층,129.178542,35.1695609,미스터피자
부산광역시,강서구,명지점,부산광역시 강서구 명지오션시티10로 16,128.8976538,35.0855819,도미노피자
부산광역시,금정구,구서점,부산광역시 금정구 금강로 433 (구서동),129.0885672,35.2462193,도미노피자
부산광역시,금정구,부산대점,부산광역시 금정구 금정로 54,129.0864033,35.2293699,도미노피자
부산광역시,기장군,기장점,부산광역시 기장군 기장읍 차성동로154번길 2 (교리),129.2175396,35.2514374,도미노피자
부산광역시,기장군,정관점,부산광역시 기장군 정관면 용수로 23 (용수리),129.1783196,35.325738,도미노피자
부산광역시,남구,대연점,부산광역시 남구 수영로 256 (대연동),129.0945737,35.1351285,도미노피자
부산광역시,남구,용호점,부산광역시 남구 용호로 64 (용호동),129.1106352,35.1256149,도미노피자
부산광역시,동래구,동래점,부산광역시 동래구 아시아드대로 203,129.0656594,35.2024879,도미노피자
부산광역시,동래구,충렬사역점,부산광역시 동래구 반송로 217,129.0976062,35.200298,도미노피자
부산광역시,부산진구,부산개금점,부산광역시 부산진구 가야대로 467,129.0231536,35.1535236,도미노피자
부산광역시,부산진구,서면점,부산광역시 부산진구 전포대로 195 (전포동),129.065032,35.154131,도미노피자
부산광역시,부산진구,초읍점,부산광역시 부산진구 새싹로 86 (범전동),129.0539329,35.1646492,도미노피자
부산광역시,북구,덕천점,부산광역시 북구 만덕대로 116 (덕천동),129.0173682,35.2129182,도미노피자
부산광역시,북구,화명점,부산광역시 북구 화명신도시로 77 (화명동),129.0099617,35.2310443,도미노피자
부산광역시,사상구,모라점,부산광역시 사상구 사상로 520,128.9894694,35.1904856,도미노피자
부산광역시,사상구,학장점,부산광역시 사상구 학감대로 226,128.9900883,35.1510495,도미노피자
부산광역시,사하구,괴정점,부산 사하구 사하로 169 (괴정동),128.9934087,35.0968897,도미노피자
부산광역시,사하구,다대포점,부산광역시 사하구 다대로 569번길 동재빌딩1층 (다대동),128.9701968,35.0556158,도미노피자
부산광역시,사하구,하단점,부산광역시 사하구 하신중앙로 333 (하단동),128.9664061,35.1054182,도미노피자
부산광역시,서구,대신점,부산광역시 서구 구덕로 303-1,129.0171075,35.1109781,도미노피자
부산광역시,수영구,수영점,부산광역시 수영구 수영로 640-1,129.1144766,35.1628207,도미노피자
부산광역시,연제구,연산점,부산 연제구 중앙대로 1173 (1층),129.0797103,35.1922736,도미노피자
부산광역시,연제구,연제토곡점,부산광역시 연제구 과정로 156,129.1074013,35.1853725,도미노피자
부산광역시,영도구,영도점,부산광역시 영도구 태종로 329-1 (청학동),129.0618793,35.0963883,도미노피자
부산광역시,해운대구,반여재송점,부산광역시 해운대구 반여로 23,129.1194911,35.1948598,도미노피자
부산광역시,해운대구,부산반송점,부산광역시 해운대구 아랫반송로21번길 106 (반송동),129.1487491,35.2281374,도미노피자
